MAIN.PRIVATE_GAME	Закрытая игра
MAIN.PUBLIC_GAME	Открытая игра
MAIN.JOIN_FRIEND	Присоединиться к другу
MAIN.SINGLEPLAYER	Одиночная игра
MAIN.TUTORIAL	Обучение
MAIN.SETTINGS	Настройки
MAIN.QUIT_GAME	Выход
POPUP.PRIVATE_GAME.HEADER	Создать игру
POPUP.PRIVATE_GAME.BODY	Друг с самым мощным компьютером
должен быть хостом.

Вы — этот друг?
POPUP.PRIVATE_GAME.OPT1	Ха-ха, да! :)
POPUP.PRIVATE_GAME.OPT2	Не я... :'(
POPUP.PUBLIC_GAME.HEADER	Внимание
POPUP.PUBLIC_GAME.BODY	Играя со случайными игроками, вы можете столкнуться с читерами или очень грубыми людьми...
POPUP.PUBLIC_GAME.OPT1	Я понимаю
POPUP.PUBLIC_GAME.OPT2	Нет, спасибо :(
POPUP.QUIT_GAME.HEADER	Выход
POPUP.QUIT_GAME.BODY	Закрыть приложение?
POPUP.QUIT_GAME.OPT1	Да
POPUP.QUIT_GAME.OPT2	Нет
POPUP.SELF_DESTRUCT.HEADER	Самоуничтожение
POPUP.SELF_DESTRUCT.BODY	Это действительно так?
POPUP.SELF_DESTRUCT.OPT1	Со мной всё кончено
POPUP.SELF_DESTRUCT.OPT2	Нет
SAVES.GO_BACK	< Назад
SAVES.NEW_GAME	Новая игра
SAVES.SINGLEPLAYER_MODE	Одиночный режим
SAVES.MULTIPLAYER_MODE	Сетевой режим
SAVES.HEADER	Сохранения
SAVES.PAGE_INFO.HEADER	Сохраненные игры
SAVES.PAGE_INFO.DESCRIPTION	Здесь хранятся все ваши весёлые моменты и возможность продолжить с того же места.
SAVES.SAVE_INFO.DELETE_SAVE	Удалить
SAVES.SAVE_INFO.LOAD_SAVE	Загрузить
SAVES.SAVE_INFO.USE_BACKUP	Бэкап
SAVES.SAVE_INFO.CURRENT_MOON	Текущая луна:
POPUP.MAIN_MENU.OPT1	Да
POPUP.MAIN_MENU.BODY	Выйти в главное меню?
POPUP.MAIN_MENU.HEADER	Главное меню
SAVES.SAVE_INFO.TOTAL_HAUL	Общий улов:
POPUP.LOAD_SAVE.HEADER	Загрузить сохранение
POPUP.LOAD_SAVE.BODY	Загрузить этот файл сохранения?
POPUP.LOAD_SAVE.OPT1	Да!
POPUP.LOAD_SAVE.OPT2	Нет
POPUP.DELETE_SAVE.HEADER	Удалить сохранение
POPUP.DELETE_SAVE.BODY	Вы ДЕЙСТВИТЕЛЬНО УВЕРЕНЫ, что хотите удалить это сохранение НАВСЕГДА?
POPUP.DELETE_SAVE.OPT1	Да! :')
POPUP.DELETE_SAVE.OPT2	Нет...
POPUP.USE_BACKUP.HEADER	Восстановление
POPUP.USE_BACKUP.BODY	Восстановить сохранение из бэкапа?

Это действие необратимо!
POPUP.USE_BACKUP.OPT1	Да!
POPUP.USE_BACKUP.OPT2	Нет
REGIONS.HEADER	Регионы
REGIONS.BACK	Назад
REGIONS.REGION.PICK_BEST_REGION	Выбрать лучший регион
REGIONS.REGION.ASIA	Азия
