MAIN.PRIVATE_GAME	Private Game
MAIN.PUBLIC_GAME	Public Game
MAIN.JOIN_FRIEND	Join Friend
MAIN.SINGLEPLAYER	Singleplayer
MAIN.TUTORIAL	Tutorial
MAIN.SETTINGS	Settings
MAIN.QUIT_GAME	Quit Game
POPUP.PRIVATE_GAME.HEADER	Host a Game
POPUP.PRIVATE_GAME.BODY	The friend with the best computer\nshould host.\n\nAre you this friend?
POPUP.PRIVATE_GAME.OPT1	Haha yes!  :)
POPUP.PRIVATE_GAME.OPT2	Not me...  :'(
POPUP.PUBLIC_GAME.HEADER	Warning
POPUP.PUBLIC_GAME.BODY	While playing with random players you may come across cheaters or really mean people...
POPUP.PUBLIC_GAME.OPT1	I understand
POPUP.PUBLIC_GAME.OPT2	No thanks :(
POPUP.QUIT_GAME.HEADER	Quit Game
POPUP.QUIT_GAME.BODY	Close the entire application?
POPUP.QUIT_GAME.OPT1	Yes
POPUP.QUIT_GAME.OPT2	No
POPUP.SELF_DESTRUCT.HEADER	Self Destruction
POPUP.SELF_DESTRUCT.BODY	Is that really so?
POPUP.SELF_DESTRUCT.OPT1	It's over for me
POPUP.SELF_DESTRUCT.OPT2	No
SAVES.GO_BACK	< Go Back
SAVES.NEW_GAME	New Game
SAVES.SINGLEPLAYER_MODE	Singleplayer Mode
SAVES.MULTIPLAYER_MODE	Multiplayer Mode
SAVES.HEADER	Saved Games
SAVES.PAGE_INFO.HEADER	Saved Games
SAVES.PAGE_INFO.DESCRIPTION	Here's all the fun you've had and the opportunity to pick up right where you left off.
SAVES.SAVE_INFO.DELETE_SAVE	Delete Save
SAVES.SAVE_INFO.LOAD_SAVE	Load Save
SAVES.SAVE_INFO.USE_BACKUP	Use Backup
SAVES.SAVE_INFO.CURRENT_MOON	Current Moon:
POPUP.MAIN_MENU.OPT1	Yes
POPUP.MAIN_MENU.BODY	Exit to main menu?
POPUP.MAIN_MENU.HEADER	Main Menu
SAVES.SAVE_INFO.TOTAL_HAUL	Total Haul:
POPUP.LOAD_SAVE.HEADER	Load Save
POPUP.LOAD_SAVE.BODY	Load this save file?
POPUP.LOAD_SAVE.OPT1	Yes!
POPUP.LOAD_SAVE.OPT2	No
POPUP.DELETE_SAVE.HEADER	Delete Save
POPUP.DELETE_SAVE.BODY	Are you REALLY SURE you want to delete this save FOREVER?
POPUP.DELETE_SAVE.OPT1	Yes! :')
POPUP.DELETE_SAVE.OPT2	No...
POPUP.USE_BACKUP.HEADER	Restore From Backup
POPUP.USE_BACKUP.BODY	Overwrite this save file with the latest backup?\n\nThis is irreversible!
POPUP.USE_BACKUP.OPT1	Yes!
POPUP.USE_BACKUP.OPT2	No
REGIONS.HEADER	Regions
REGIONS.BACK	Back
REGIONS.REGION.PICK_BEST_REGION	Pick Best Region
REGIONS.REGION.ASIA	Asia
REGIONS.REGION.AU	Australia
REGIONS.REGION.CAE	Canada East
REGIONS.REGION.CN	Chinese Mainland
REGIONS.REGION.EU	Europe
REGIONS.REGION.HK	Hong Kong
REGIONS.REGION.IN	India
REGIONS.REGION.JP	Japan
