BIG_MESSAGE.EXTRACTION.ACTIVATED	Точка эвакуации активирована
BIG_MESSAGE.EXTRACTION.COMPLETED	Эвакуация завершена
FOCUS.EXTRACTION.FILL_VALUABLES	Заполните точку эвакуации ценностями
FOCUS.EXTRACTION.AVOID_GRENADES	Осторожно, гранаты!
FOCUS.EXTRACTION.FIND_NEXT	Найдите следующую точку эвакуации
FOCUS.EXTRACTION.BACK_TO_TRUCK	Возвращайтесь к грузовику!
TUTORIAL.TRANSITION_TEXT	Отличная работа!
TUTORIAL.MOVEMENT.TEXT	Используйте [move] для перемещения.
TUTORIAL.MOVEMENT.FOCUS_TEXT	Двигайтесь, чтобы заполнить шкалу прогресса!
TUTORIAL.MOVEMENT.DUMMY_TEXT	Используйте [move] на клавиатуре, пока шкала не заполнится!
TUTORIAL.JUMPING.TEXT	Нажмите [jump] для прыжка.
TUTORIAL.JUMPING.FOCUS_TEXT	Прыгайте, чтобы заполнить шкалу!
TUTORIAL.JUMPING.DUMMY_TEXT	Нажимайте [jump], пока шкала не заполнится!
TUTORIAL.SNEAKING.TEXT	Нажмите [crouch], чтобы красться. Так монстрам сложнее вас заметить.
TUTORIAL.SNEAKING.FOCUS_TEXT	Крадитесь, чтобы заполнить шкалу!
TUTORIAL.SNEAKING.DUMMY_TEXT	Удерживайте [crouch] и двигайтесь, пока шкала не заполнится!
TUTORIAL.HIDING.TEXT	Используйте [crouch], чтобы проползти под объектами и спрятаться.
TUTORIAL.HIDING.FOCUS_TEXT	Спрячьтесь, чтобы заполнить шкалу!
TUTORIAL.HIDING.DUMMY_TEXT	Спрячьтесь под объектом, пока шкала не заполнится!
TUTORIAL.SPRINTING.TEXT	Удерживайте [sprint] для бега. Это расходует выносливость.
TUTORIAL.SPRINTING.FOCUS_TEXT	Бегите, чтобы заполнить шкалу!
TUTORIAL.SPRINTING.DUMMY_TEXT	Бегите с [sprint], пока шкала не заполнится. Если энергия кончится — подождите.
TUTORIAL.TUMBLING.TEXT	Бегите и нажмите [tumble], чтобы красиво упасть. Прыжки тоже помогают!
TUTORIAL.TUMBLING.FOCUS_TEXT	Бегите, прыгайте и падайте, чтобы заполнить шкалу!
TUTORIAL.TUMBLING.DUMMY_TEXT	Бегите с [sprint], прыгайте и жмите [tumble]. Повторяйте до заполнения!
TUTORIAL.GRABBING.TEXT	Хватайте объекты, используя [grab].
TUTORIAL.GRABBING.FOCUS_TEXT	Тащите эту штуку, чтобы заполнить шкалу!
TUTORIAL.GRABBING.DUMMY_TEXT	Удерживайте [grab] на объекте, пока шкала не заполнится!
TUTORIAL.PUSHING_AND_PULLING.TEXT	Используйте [push], чтобы менять дистанцию до удерживаемых объектов.
TUTORIAL.PUSHING_AND_PULLING.FOCUS_TEXT	Измените дистанцию до предмета!
TUTORIAL.PUSHING_AND_PULLING.DUMMY_TEXT	Удерживая предмет [grab], используйте [push], чтобы менять дистанцию!
TUTORIAL.ROTATING.TEXT	Вращайте удерживаемые объекты с помощью [grab2].
TUTORIAL.ROTATING.FOCUS_TEXT	Вращайте вещи, чтобы заполнить шкалу!
TUTORIAL.ROTATING.DUMMY_TEXT	Удерживая предмет [grab], зажмите [grab2] и двигайте мышью для вращения!
TUTORIAL.ITEM_TOGGLING.TEXT	Схватите и нажмите [interact], чтобы включить/выключить предмет.
TUTORIAL.ITEM_TOGGLING.FOCUS_TEXT	Включите и выключите это!
TUTORIAL.ITEM_TOGGLING.DUMMY_TEXT	Схватите предмет и жмите [interact], пока шкала не заполнится!
TUTORIAL.INVENTORY_FILL.TEXT	Возьмите предмет и используйте [inventory1]/[2]/[3], чтобы положить его в инвентарь.
TUTORIAL.INVENTORY_FILL.FOCUS_TEXT	Заполните весь инвентарь!
TUTORIAL.INVENTORY_FILL.DUMMY_TEXT	С предметом в руках нажмите [inventory1]/[2]/[3]. Заполните все слоты!
TUTORIAL.INVENTORY_EMPTY.TEXT	Используйте [inventory1]/[2]/[3], чтобы достать предметы из инвентаря.
TUTORIAL.INVENTORY_EMPTY.FOCUS_TEXT	Очистите инвентарь!
TUTORIAL.INVENTORY_EMPTY.DUMMY_TEXT	Нажимайте [inventory1]/[2]/[3], чтобы выкинуть всё из слотов!
TUTORIAL.MAP.TEXT	Используйте [map], чтобы открыть карту. Карта <b><u>КРИТИЧЕСКИ ВАЖНА</u></b> для навигации.
TUTORIAL.MAP.FOCUS_TEXT	Проверьте карту!
TUTORIAL.MAP.DUMMY_TEXT	Удерживайте [map], пока шкала не заполнится!
TUTORIAL.CART_HANDLING_1.TEXT	Это Т.Е.Л.Е.Ж.К.А. Хватайте её за ручку.
TUTORIAL.CART_HANDLING_1.FOCUS_TEXT	Покатайте Т.Е.Л.Е.Ж.К.У. немного!
TUTORIAL.CART_HANDLING_1.DUMMY_TEXT	Схватите тележку за ручку [grab] и покатайте её!
TUTORIAL.CART_HANDLING_2.TEXT	Наполняйте тележки ценностями. Они <b><u>ВАЖНЫ</u></b>, чтобы унести больше добра.
TUTORIAL.CART_HANDLING_2.FOCUS_TEXT	Наполните тележку ценностями!
TUTORIAL.CART_HANDLING_2.DUMMY_TEXT	Положите три предмета в тележку.
TUTORIAL.EXTRACTION_POINTS.TEXT	Активируйте и заполняйте <b><u>ТОЧКИ ЭВАКУАЦИИ</u></b> ценностями.
TUTORIAL.EXTRACTION_POINTS.FOCUS_TEXT	Сдавайте ценности!
TUTORIAL.EXTRACTION_POINTS.DUMMY_TEXT	ПРИВЕТ! ЗАПОЛНИ ТОЧКУ ЭВАКУАЦИИ ЦЕННОСТЯМИ!
TUTORIAL.TRUCK.TEXT	Зайдите в <b><u>ГРУЗОВИК</u></b> и отправьте сообщение боссу, чтобы покинуть уровень.
TUTORIAL.TRUCK.FOCUS_TEXT	Зайдите в грузовик и отправьте сообщение!
TUTORIAL.TRUCK.DUMMY_TEXT	Зайдите в грузовик, схватите и удерживайте область сообщения на экране!
TUTORIAL.HEALING.TEXT	Делитесь здоровьем с другими игроками, хватая их за шеи!
TUTORIAL.REVIVING.TEXT	Оживляйте павших товарищей, извлекая их головы!
TUTORIAL.CHARGING_STATION.TEXT	Покупайте <b><u>ЭНЕРГОКРИСТАЛЛЫ</u></b> для <b><u>ЗАРЯДНОЙ СТАНЦИИ</u></b>, чтобы чинить и заряжать снаряжение!
TUTORIAL.ONLY_ONE_EXTRACTION.TEXT	Только одна <b><u>ТОЧКА ЭВАКУАЦИИ</u></b> активна за раз. Ищите её на карте!
TUTORIAL.CHAT.TEXT	Нажмите [chat], чтобы открыть чат! Это весело!
TUTORIAL.FINAL_EXTRACTION.TEXT	Пора уходить! Грузовик лечит вас и оживляет принесенные головы игроков!
TUTORIAL.MULTIPLE_EXTRACTIONS.TEXT	На этом уровне несколько <b><u>ТОЧЕК ЭВАКУАЦИИ</u></b>, нужно очистить их все!
TUTORIAL.SHOP.TEXT	Это <b><u>МАГАЗИН</u></b>. Сдавайте предметы для покупок. Здесь вы в безопасности!
TUTORIAL.EXPRESSIONS.TEXT	Используйте клавиши эмоций [1]-[6], чтобы выражать чувства. Можно даже смешивать!
TUTORIAL.OVERCHARGE_1.TEXT	Захват монстра вызывает перегрузку. Когда шкала заполнится, произойдет взрыв.
TUTORIAL.OVERCHARGE_2.TEXT	Если держаться группой, эффект перегрузки ослабевает.
TUTORIAL.HEAD_SPECTATE_1.TEXT	Пока вы мертвы, ваша голова заряжается. Используйте заряд, чтобы ненадолго захватить контроль над ней.
TUTORIAL.HEAD_SPECTATE_2.TEXT	Управляя головой, удерживайте [jump] для прыжка. Чем дольше держите, тем выше прыжок, но выше и цена.
TUTORIAL.ENEMY_ELSA.TEXT	ПОГЛАДЬ СОБАКУ!
MOON_UI.SKIP	[menu], чтобы пропустить
TUTORIAL.EXTRACTION_REMINDER.TEXT	Заполняйте <b><u>ТОЧКИ ЭВАКУАЦИИ</u></b> ценностями.
TUTORIAL.COSMETIC_WORLD_OBJECT_1.TEXT	Это <b><u>КОСМЕТИЧЕСКИЙ ЯЩИК</u></b>. Эвакуируйте его для получения награды.
TUTORIAL.COSMETIC_WORLD_OBJECT_2.TEXT	Если он поврежден, вы можете <b><u>ПОЛЕЧИТЬ</u></b> его своим здоровьем.
TUTORIAL.COSMETIC_SHOP_MACHINE.TEXT	Вставляйте <b><u>НАЛОГОВЫЕ ЖЕТОНЫ</u></b> в автомат, чтобы забрать награды.
FOCUS.PREFIX	ЦЕЛЬ
FOCUS.SHOP.INTRO	Купите что-нибудь полезное в магазине
FOCUS.TRUCK.INTRO	Наслаждайтесь поездкой, заряжайтесь и ГОТОВЬТЕСЬ!
COSMETIC_SHOP_MACHINE.INFO_TEXT	Нажмите [interact], чтобы вставить жетон
ITEM.CART_CANNON	Пушка C.A.R.T.
ITEM.CART_LASER	Лазер C.A.R.T.
ITEM.CART_MEDIUM	Тележка C.A.R.T.
ITEM.CART_SMALL	Карманная C.A.R.T.
ITEM.DRONE_BATTERY	Дрон-зарядник
ITEM.DRONE_FEATHER	Дрон-перо
ITEM.DRONE_INDESTRUCTIBLE	Неуязвимый дрон
ITEM.DRONE_TORQUE	Дрон-катун
ITEM.DRONE_ZERO_GRAVITY	Гравидрон
ITEM.DUCK_BUCKET	Ведро с уточками
ITEM.EXTRACTION_TRACKER	Трекер эвакуации
ITEM.GRENADE_DUCT_TAPED	Связка гранат на изоленте
ITEM.GRENADE_EXPLOSIVE	Осколочная граната
ITEM.GRENADE_HUMAN	Человеческая граната
ITEM.GRENADE_SHOCKWAVE	Ударная граната
ITEM.GRENADE_STUN	Шоковая граната
ITEM.GUN_HANDGUN	Пистолет
ITEM.GUN_LASER	Фотонный бластер
ITEM.GUN_SHOCKWAVE	Пульсовый пистолет
ITEM.GUN_SHOTGUN	Дробовик
ITEM.GUN_STUN	Молнестрел
ITEM.GUN_TRANQ	Транквилизатор
ITEM.HEALTH_PACK_LARGE	Большая аптечка (100)
ITEM.HEALTH_PACK_MEDIUM	Средняя аптечка (50)
ITEM.HEALTH_PACK_SMALL	Малая аптечка (25)
ITEM.LEAF_BLOWER	Воздуходувка
ITEM.MELEE_BASEBALL_BAT	Бейсбольная бита
ITEM.MELEE_FRYING_PAN	Сковорода
ITEM.MELEE_INFLATABLE_HAMMER	Надувной молот
ITEM.MELEE_SLEDGE_HAMMER	Кувалда
ITEM.MELEE_STUN_BATON	Электрошокер
ITEM.MELEE_SWORD	Меч
ITEM.MINE_EXPLOSIVE	Взрывная мина
ITEM.MINE_SHOCKWAVE	Ударная мина
ITEM.MINE_STUN	Электроловушка
ITEM.ORB_ZERO_GRAVITY	Сфера антигравитации
ITEM.PHASE_BRIDGE	Фазовый мост
ITEM.POWER_CRYSTAL	Энергокристалл
ITEM.REVIVE_ITEM	Дефибриллятор
ITEM.RUBBER_DUCK	Резиновая уточка
ITEM.STAFF_TORQUE	Посох вращения
ITEM.STAFF_VOID	Посох Бездны
ITEM.STAFF_ZERO_GRAVITY	Посох антигравитации
