BIG_MESSAGE.EXTRACTION.ACTIVATED	Extraction point activated
BIG_MESSAGE.EXTRACTION.COMPLETED	Extraction point completed
FOCUS.EXTRACTION.FILL_VALUABLES	Fill the extraction point with valuables
FOCUS.EXTRACTION.AVOID_GRENADES	Avoid the grenades!
FOCUS.EXTRACTION.FIND_NEXT	Find the next extraction point
FOCUS.EXTRACTION.BACK_TO_TRUCK	Get back to the truck!
TUTORIAL.TRANSITION_TEXT	Good job!
TUTORIAL.MOVEMENT.TEXT	Use [move] to move.
TUTORIAL.MOVEMENT.FOCUS_TEXT	Move to fill the progress bar!
TUTORIAL.MOVEMENT.DUMMY_TEXT	Use [move] on your keyboard until the progress bar is filled!
TUTORIAL.JUMPING.TEXT	Press [jump] to jump.
TUTORIAL.JUMPING.FOCUS_TEXT	Jump to fill the progress bar!
TUTORIAL.JUMPING.DUMMY_TEXT	Press [jump] to do jumps until the progress bar is filled!
TUTORIAL.SNEAKING.TEXT	Press [crouch] to sneak. Monsters are less likely to see you.
TUTORIAL.SNEAKING.FOCUS_TEXT	Sneak to fill the progress bar!
TUTORIAL.SNEAKING.DUMMY_TEXT	Hold [crouch] and use [move] until the progess is filled!
TUTORIAL.HIDING.TEXT	Use [crouch] to sneak under stuff and hide.
TUTORIAL.HIDING.FOCUS_TEXT	Hide to fill the progress bar!
TUTORIAL.HIDING.DUMMY_TEXT	Hold [crouch] and walk in under a prop, stay there until you fill the progress bar!
TUTORIAL.SPRINTING.TEXT	Hold down [sprint] to sprint. This drains your energy.
TUTORIAL.SPRINTING.FOCUS_TEXT	Sprint to fill the progress bar!
TUTORIAL.SPRINTING.DUMMY_TEXT	Hold [sprint] and use [move] to sprint until you filled the progress bar! If the energy runs out, wait for it to regenerate!
TUTORIAL.TUMBLING.TEXT	Run and press [tumble] to fall with style. Jumping also helps!
TUTORIAL.TUMBLING.FOCUS_TEXT	Run, jump and fall to fill the progress bar!
TUTORIAL.TUMBLING.DUMMY_TEXT	Run with [sprint], jump with [jump] and press [tumble] to throw yourself. Do it until you fill the progress bar!
TUTORIAL.GRABBING.TEXT	Grab objects using [grab].
TUTORIAL.GRABBING.FOCUS_TEXT	Carry that thing to fill the progress bar!
TUTORIAL.GRABBING.DUMMY_TEXT	Press and hold [grab] on an object until you fill the progress bar!
TUTORIAL.PUSHING_AND_PULLING.TEXT	Use [push] to alter the distance of grabbed objects.
TUTORIAL.PUSHING_AND_PULLING.FOCUS_TEXT	Alter the distance of a grabbed item!
TUTORIAL.PUSHING_AND_PULLING.DUMMY_TEXT	Press and hold [grab] on an object and use [push] to alter the distance of the item you grabbed!
TUTORIAL.ROTATING.TEXT	Rotate grabbed objects using [grab2].
TUTORIAL.ROTATING.FOCUS_TEXT	Rotate stuff to fill the progress bar!
TUTORIAL.ROTATING.DUMMY_TEXT	While holding an object with [grab], press and hold [grab2] and move your aim to rotate it. Rotate until you fill the progress bar!
TUTORIAL.ITEM_TOGGLING.TEXT	Grab and press [interact] to toggle items.
TUTORIAL.ITEM_TOGGLING.FOCUS_TEXT	Toggle that thing on and off!
TUTORIAL.ITEM_TOGGLING.DUMMY_TEXT	Grab the ball with [grab] and toggle it on and off using [interact] until you fill the progress bar!
