EXTRACTION.TAX_RETURN	Налоговая декларация
EXTRACTION.LOCKED	Заблокировано
EXTRACTION.READY	Готово
EXTRACTION.ACTIVE	Активно
EXTRACTION.EXTRACTING	Эвакуация...
EXTRACTION.COMPLETED	Завершено
COSMETIC_SHOP_MACHINE.NEW	Новинка!
VALUABLE_BOX.TOO_BIG	Слишком большой
VALUABLE_BOX.TOO_FULL	Переполнено
VALUABLE_BOX.EXTRACT	Сдать
TRUCK_SCREEN.TAXMAN	Налоговик
TRUCK_SCREEN.DESTROYING_SLACKERS	Ликвидация бездельников
TRUCK_SCREEN.STARTING_ENGINE	Запуск двигателя
TRUCK_SCREEN.HITTING_THE_ROAD	Выезд на объект
